,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
47,4,17.0,0.0077390999995259335,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999922609,
48,8,17.0,0.012008599999717262,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],10,512,10,arithmetic,10,0.0001,0.001,9.99999879914,
49,16,19.0,0.023434099999576574,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],10,512,10,arithmetic,10,0.0001,0.001,9.99999765659,
50,32,20.0,0.038814300000012736,[16  9  0 18 14  9  9 14  6 16 18  1  7  7 14  1 11  8  1 20 16],10,512,10,arithmetic,10,0.0001,0.001,9.99999611857,
51,64,20.0,0.06662879999930738,[18 12 20 19  0  3  1 14  5 11 15 12  7  7 10  1  5  8 20  1  5],10,512,10,arithmetic,10,0.0001,0.001,9.99999333712,
52,128,15.0,0.12097799999992276,[16  0  8 19  8 12  4  0  3 19  4  4 20 18  1  6 19 13 17  0 12],10,512,10,arithmetic,10,0.0001,0.001,9.999987902200001,
53,256,18.0,0.23749659999975847,[ 4 12  4  8 18  0  2 16 14 16 15  5  8  1 15  7 13 19  6 13  5],10,512,10,arithmetic,10,0.0001,0.001,9.99997625034,
54,512,23.0,0.46600709999984247,[ 5 13  9  1 13 19 20  4 17  8  7  7 13 10  4  9 18 17  2  6 19],10,512,10,arithmetic,10,0.0001,0.001,9.99995339929,
55,0,17.0,0.001119999999900756,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999944000156805,0.005
56,1,19.0,0.002560799999628216,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999871960819727,0.005
57,2,17.0,0.004804100000001199,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999759797884899,0.005
58,4,17.0,0.00726459999987128,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999636776596729,0.005
59,8,17.0,0.011461999999482941,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],10,512,10,exponential,10,,0.001,9.999426916421893,0.005
60,16,19.0,0.019241999999394466,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],10,512,10,exponential,10,,0.001,9.999037946280367,0.005
61,32,20.0,0.03355199999987235,[16  9  0 18 14  9  9 14  6 16 18  1  7  7 14  1 11  8  1 20 16],10,512,10,exponential,10,,0.001,9.998322540709225,0.005
62,64,20.0,0.06167319999985921,[18 12 20 19  0  3  1 14  5 11 15 12  7  7 10  1  5  8 20  1  5],10,512,10,exponential,10,,0.001,9.99691681539909,0.005
63,128,15.0,0.11659529999997176,[16  0  8 19  8 12  4  0  3 19  4  4 20 18  1  6 19 13 17  0 12],10,512,10,exponential,10,,0.001,9.994171933977828,0.005
64,256,24.0,0.22942389999934676,[ 7  5  2  0 18  1  1  3 12  5 16  5  8  1 14 11  2 19 15  4  1],10,512,10,exponential,10,,0.001,9.988535381900698,0.005
65,512,11.0,0.4251479999993535,[15  9 20 13  2 19  2  0 17  0  2 15 19 14 14  5 12 18 11  4  6],10,512,10,exponential,10,,0.001,9.978765177851724,0.005
66,0,17.0,0.0014560999998138868,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.99853658130463,
67,1,19.0,0.004204099999697064,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.99577482756706,
68,2,17.0,0.006187299999510287,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.99378174903909,
69,4,17.0,0.009987299999920651,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.98996293182051,
70,8,17.0,0.015293299999939336,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],100,512,100,geometric,100,0.99,0.001,99.98463090103627,
71,16,19.0,0.0228821999999127,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],100,512,100,geometric,100,0.99,0.001,99.97700526468802,
72,32,22.0,0.038035499999750755,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],100,512,100,geometric,100,0.99,0.001,99.96178035063416,
73,64,21.0,0.06625789999998233,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],100,512,100,geometric,100,0.99,0.001,99.93343075236713,
74,128,18.0,0.12151559999983874,[ 8  9  7 13  1 13  4  1  3 16  4  4 18 11  2  6  7 15 17 15 12],100,512,100,geometric,100,0.99,0.001,99.87794728584365,
75,256,22.0,0.23556809999990946,[16 20  5  8  1  2  5  4  7  9 11  5 13 15 19 10 20 15  6 13 14],100,512,100,geometric,100,0.99,0.001,99.76352618874935,
76,512,10.0,0.45557839999946736,[15 13 16 14 11  4  2 17 17  2  6  6  0 10  6 19  3 18 10 17  9],100,512,100,geometric,100,0.99,0.001,99.54317504119523,
77,0,17.0,0.0011144999998577987,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.99999988855,
78,1,19.0,0.0027019999997719424,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.9999997298,
79,2,17.0,0.0046951000003900845,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.99999953049,
80,4,17.0,0.0072133000003304915,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.99999927867,
81,8,17.0,0.011247399999774643,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],100,512,100,arithmetic,100,0.0001,0.001,99.99999887526,
82,16,19.0,0.018736600000011094,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],100,512,100,arithmetic,100,0.0001,0.001,99.99999812634,
83,32,22.0,0.034677499999816064,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],100,512,100,arithmetic,100,0.0001,0.001,99.99999653225,
84,64,21.0,0.06292819999998756,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],100,512,100,arithmetic,100,0.0001,0.001,99.99999370718,
85,128,19.0,0.11929950000012468,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],100,512,100,arithmetic,100,0.0001,0.001,99.99998807005,
86,256,14.0,0.2406080999999176,[19 13  0  2  1 18  2 16 13 17 10  0 14  4  9  7 11 19  6  5 17],100,512,100,arithmetic,100,0.0001,0.001,99.99997593919,
87,512,22.0,0.48544870000023366,[15 12  9  1  1  6 19 13 17 10  1 15 19 10  5  9  4  5 11 17  6],100,512,100,arithmetic,100,0.0001,0.001,99.99995145513,
88,0,17.0,0.0012579000003825058,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99937105197769,0.005
89,1,19.0,0.0027675000001181616,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99861625957371,0.005
90,2,17.0,0.004254000000400993,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99787302262028,0.005
91,4,17.0,0.006583700000192039,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99670820418069,0.005
92,8,17.0,0.010781400000269059,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],100,512,100,exponential,100,,0.001,99.9946094452955,0.005
93,16,19.0,0.018625499999870954,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],100,512,100,exponential,100,,0.001,99.99068768362316,0.005
94,32,22.0,0.03552480000053038,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],100,512,100,exponential,100,,0.001,99.98223917742061,0.005
95,64,21.0,0.06435500000043248,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],100,512,100,exponential,100,,0.001,99.9678276764021,0.005
96,128,19.0,0.12615269999969314,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],100,512,100,exponential,100,,0.001,99.93694353894784,0.005
97,256,20.0,0.24750810000023193,[14 11 12  2 17 18  2 16 14 19 19  0 10  2 15  7  9 14 17  5  1],100,512,100,exponential,100,,0.001,99.87632249374576,0.005
98,512,17.0,0.48317430000042805,[13  7  9 14 16  6  3 20  1  7  1  6 12 20  5 19 10  5 16 11 19],100,512,100,exponential,100,,0.001,99.75870443689558,0.005
99,0,17.0,0.0009324000002379762,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9906291107549,
100,1,19.0,0.0030888000001141336,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9689570044583,
101,2,17.0,0.004748400000607944,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.952278123952,
102,4,17.0,0.007103599999936705,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9286089826917,
103,8,17.0,0.011203500000192435,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1000,512,1000,geometric,1000,0.99,0.001,999.8874074012858,
104,16,19.0,0.01898460000029445,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],1000,512,1000,geometric,1000,0.99,0.001,999.8092165954214,
105,32,22.0,0.033429800000703835,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],1000,512,1000,geometric,1000,0.99,0.001,999.6640757176782,
106,64,21.0,0.062330600000677805,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],1000,512,1000,geometric,1000,0.99,0.001,999.3737527107835,
107,128,19.0,0.11809859999993932,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],1000,512,1000,geometric,1000,0.99,0.001,998.8137735296801,
108,256,20.0,0.24297890000070765,[15 20  3  7 15 18  2 16 14 19 19 13 10  4 15  7  9 19 20  4  1],1000,512,1000,geometric,1000,0.99,0.001,997.5609597537542,
109,512,13.0,0.49456590000045253,[16 12  9 13 10  6 20 13 13  3 13 15 19 10  5 18  2  7  4 17 19],1000,512,1000,geometric,1000,0.99,0.001,995.041779361835,
110,0,17.0,0.0011830999992525904,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999988169,
111,1,19.0,0.002818699999806995,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999971813,
112,2,17.0,0.004620499999873573,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999953795,
113,4,17.0,0.007542299999840907,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999924577,
114,8,17.0,0.011842999999316817,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1000,512,1000,arithmetic,1000,0.0001,0.001,999.9999988157,
115,16,19.0,0.01974329999939073,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999802567,
116,32,22.0,0.03532039999936387,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999646796,
117,64,21.0,0.07939709999936895,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999206029,
118,128,19.0,0.14184169999953156,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99998581583,
119,256,20.0,0.27381100000002334,[16 12  3  8  1  0  2  3 14 16 15  4 12  4 16  8 16 19 17 12 14],1000,512,1000,arithmetic,1000,0.0001,0.001,999.9999726189,
120,512,22.0,0.5289569999995365,[16 12  9  1 13  6  8  1 17 10  7  6  2 10  5  5 10  5  2  4  6],1000,512,1000,arithmetic,1000,0.0001,0.001,999.9999471043,
121,0,17.0,0.0013692999991690158,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9931535234414,0.005
122,1,19.0,0.003231699999560078,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.98384163055,0.005
123,2,17.0,0.004777099999955681,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9761147852565,0.005
124,4,17.0,0.008743399999730173,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9562839555755,0.005
125,8,17.0,0.014781299999413022,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1000,512,1000,exponential,1000,,0.001,999.926096231021,0.005
126,16,19.0,0.024581299999226758,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],1000,512,1000,exponential,1000,,0.001,999.8771010526983,0.005
127,32,22.0,0.0404460999998264,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],1000,512,1000,exponential,1000,,0.001,999.79778994721,0.005
128,64,21.0,0.07646089999980177,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],1000,512,1000,exponential,1000,,0.001,999.6177685690545,0.005
129,128,19.0,0.15292779999981576,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],1000,512,1000,exponential,1000,,0.001,999.2356532619046,0.005
130,256,20.0,0.307631599999695,[16 12  3  8  1  0  2  3 14 16 15  4 12  4 16  8 16 19 17 12 14],1000,512,1000,exponential,1000,,0.001,998.4630243587221,0.005
131,512,25.0,0.5604033999998137,[15 12  9  1 11  6 17 13 19 10 13  7 19 10  5  7  2  8  2  6  6],1000,512,1000,exponential,1000,,0.001,997.2019049856231,0.005
