,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
89,1,12.0,0.3071996999997282,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.1,512,300,0.1
90,2,12.0,0.46527099999912025,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.1,512,300,0.1
91,4,11.0,0.7695344999992813,[12 20  1 13 15 19 14 19 14  1  4 16  3  7 11 18  1  0  7  9 17],300,0.1,512,300,0.1
92,8,10.0,1.3908739999997124,[13  8  2  4  2 10  1 19  6 15  3  7 16  0 16 18  8  5  9 12 14],300,0.1,512,300,0.1
93,16,8.0,2.6858549999997194,[ 9  4 17  5  3  6 18  5  2 14  7  0 16  8 14 12  2  9 19 15 10],300,0.1,512,300,0.1
94,32,8.0,5.294206499999746,[ 9  4 17  5  3  6 18  5  2 14  7  0 16  8 14 12  2  9 19 15 10],300,0.1,512,300,0.1
95,64,8.0,10.817392599999948,[ 9  4 17  5  3  6 18  5  2 14  7  0 16  8 14 12  2  9 19 15 10],300,0.1,512,300,0.1
96,128,8.0,20.856220399999984,[ 9  4 17  5  3  6 18  5  2 14  7  0 16  8 14 12  2  9 19 15 10],300,0.1,512,300,0.1
97,256,7.0,41.77438809999967,[10  7 14 18 15 13 20 12  1  8  4  0  3  7  9 12 19  7  2 11 18],300,0.1,512,300,0.1
98,512,4.0,84.12895449999996,[ 5  9 16  5  8  1 18 13  6 20 20 15 11  0  4 12 19  2 10  3 14],300,0.1,512,300,0.1
99,0,17.0,0.13483650000034686,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],300,0.2,512,300,0.2
100,1,12.0,0.29778280000027735,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.2,512,300,0.2
101,2,12.0,0.4916720000001078,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.2,512,300,0.2
102,4,11.0,0.8097524000004341,[11  4  8 12  9 18 12  6 20  0 14  7 14 17  2 16 10 13  3 19  3],300,0.2,512,300,0.2
103,8,11.0,1.4452544000005219,[11  4  8 12  9 18 12  6 20  0 14  7 14 17  2 16 10 13  3 19  3],300,0.2,512,300,0.2
104,16,8.0,2.7437501000003977,[ 0  3 10  8  3  6 19 16  5 19 14  4 18  1  3  2 13 20 17 15  1],300,0.2,512,300,0.2
105,32,8.0,5.670698699999775,[ 0  3 10  8  3  6 19 16  5 19 14  4 18  1  3  2 13 20 17 15  1],300,0.2,512,300,0.2
106,64,8.0,11.053347400000348,[ 0  3 10  8  3  6 19 16  5 19 14  4 18  1  3  2 13 20 17 15  1],300,0.2,512,300,0.2
107,128,7.0,21.33355500000016,[ 0 15 13  8  5 20 18 16 12 19  0  4 10  1  6  3 11  2 14  8  6],300,0.2,512,300,0.2
108,256,5.0,43.36035230000016,[ 7  4  8 15 17  6 16 18  5 11 14  5  3  1 19  2  0 17 17 17 10],300,0.2,512,300,0.2
109,512,5.0,90.54249690000051,[ 7  4  8 15 17  6 16 18  5 11 14  5  3  1 19  2  0 17 17 17 10],300,0.2,512,300,0.2
110,0,17.0,0.16457200000058947,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],300,0.3,512,300,0.3
111,1,12.0,0.34815940000044066,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.3,512,300,0.3
112,2,12.0,0.5209010000007765,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.3,512,300,0.3
113,4,12.0,0.854755400000613,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.3,512,300,0.3
114,8,10.0,1.5803786000005857,[12  9  2 19 20 10  1 16  5 16  3 13 16 18 15 11  0  3  6 14  7],300,0.3,512,300,0.3
115,16,10.0,2.8610942000004798,[12  9  2 19 20 10  1 16  5 16  3 13 16 18 15 11  0  3  6 14  7],300,0.3,512,300,0.3
116,32,9.0,7.1528442000008,[12 16  4  2 11  8  3 13  0 17 18 20 18  1  5 20 14  4  7  2 19],300,0.3,512,300,0.3
117,64,8.0,12.405515500000547,[14  8  2 19  7  7 19  0  9  1 20 20 16 20 15 11  5 10  6  4  0],300,0.3,512,300,0.3
118,128,8.0,23.11111080000046,[14  8  2 19  7  7 19  0  9  1 20 20 16 20 15 11  5 10  6  4  0],300,0.3,512,300,0.3
119,256,7.0,43.80607510000027,[14 11  4  2  7 10  1 15  5 20  6  9 18 12  8 19  3  7  9  2  3],300,0.3,512,300,0.3
120,512,5.0,85.34007600000041,[14 16  9  4 12 10  1  6 18 15 13 20  0  8 11  7  3  2  9 17 13],300,0.3,512,300,0.3
121,0,17.0,0.22458730000016658,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],300,0.4,512,300,0.4
122,1,12.0,0.3973630000000412,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.4,512,300,0.4
123,2,12.0,0.5914053999995303,[10 11 20  7 16  4 19 15 13 10  6  0  5 14  1  2  8 11 17 14  4],300,0.4,512,300,0.4
124,4,11.0,0.954638199999863,[ 2 15  3 20 20  2 12 20 19 12 19  1  7 13  1 17 14  0  7  5 18],300,0.4,512,300,0.4
125,8,10.0,1.5947501000000557,[ 9 17 14 14  1 12 19 14  0 10  5  3 18 20 15 13  6 11 17  7 16],300,0.4,512,300,0.4
126,16,9.0,2.791036499999791,[14  7  3  1 12 13  3 20  2 16 14 20  1 13  9 17 19  5 18  9  4],300,0.4,512,300,0.4
127,32,9.0,5.4620914999995875,[14  7  3  1 12 13  3 20  2 16 14 20  1 13  9 17 19  5 18  9  4],300,0.4,512,300,0.4
128,64,8.0,11.054587999999967,[ 8  2  0 15  1 10  3  7 17  3 14 18  2 19 16  6 12  5  9  1 14],300,0.4,512,300,0.4
129,128,6.0,21.36859269999968,[14  7  3  8  6 20 13  0 19 17 20 20  1 10  1  1 19 16 18  9  5],300,0.4,512,300,0.4
130,256,5.0,44.758986599999844,[15  7  5  1 12  6  3 20  2 14 19 15  6  6  0 17  5 13 18  9  4],300,0.4,512,300,0.4
131,512,4.0,87.76015720000032,[19  7  0  2 12  6 11 20  4 16 19 15  1 10  1  7  5  3 18  9 14],300,0.4,512,300,0.4
132,0,17.0,0.19672499999978754,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],400,0.1,512,400,0.1
133,1,10.0,0.4009278000003178,[ 3 13  5 13  8 13  7 18 15  1  4 13  3  6 20 20 12 10 13  1 19],400,0.1,512,400,0.1
134,2,10.0,0.610973699999704,[ 3 13  5 13  8 13  7 18 15  1  4 13  3  6 20 20 12 10 13  1 19],400,0.1,512,400,0.1
135,4,10.0,1.0325603999999657,[ 3 13  5 13  8 13  7 18 15  1  4 13  3  6 20 20 12 10 13  1 19],400,0.1,512,400,0.1
136,8,10.0,1.916772900000069,[ 3 13  5 13  8 13  7 18 15  1  4 13  3  6 20 20 12 10 13  1 19],400,0.1,512,400,0.1
137,16,10.0,3.894042900000386,[ 3 13  5 13  8 13  7 18 15  1  4 13  3  6 20 20 12 10 13  1 19],400,0.1,512,400,0.1
138,32,9.0,7.301135300000169,[ 7  1 12  5  8 16 13  2 17  6 15  5 20  0 16  7 19 20  6  4 11],400,0.1,512,400,0.1
139,64,8.0,15.201334000000315,[18  0  6 11 13 17  0  5 19  6 15  1  4  9  7 17 19  2  6 14  8],400,0.1,512,400,0.1
140,128,8.0,31.65802689999964,[18  0  6 11 13 17  0  5 19  6 15  1  4  9  7 17 19  2  6 14  8],400,0.1,512,400,0.1
141,256,6.0,60.2372819000002,[ 3 11 16  8  1  1 12  7  2 17 13  4 19 14 18  7  0  0 20  9  9],400,0.1,512,400,0.1
142,512,6.0,118.6964711999999,[ 3 11 16  8  1  1 12  7  2 17 13  4 19 14 18  7  0  0 20  9  9],400,0.1,512,400,0.1
143,0,17.0,0.2124295000003258,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],400,0.2,512,400,0.2
144,1,12.0,0.42467370000031224,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.2,512,400,0.2
145,2,12.0,0.6634897000003548,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.2,512,400,0.2
146,4,10.0,1.102175900000475,[18  4  3 17  2 12  5  8 14  1 13 17 16 11  0 15 10 19  1  8 13],400,0.2,512,400,0.2
147,8,10.0,1.9749643000004653,[18  4  3 17  2 12  5  8 14  1 13 17 16 11  0 15 10 19  1  8 13],400,0.2,512,400,0.2
148,16,10.0,3.766101900000649,[18  4  3 17  2 12  5  8 14  1 13 17 16 11  0 15 10 19  1  8 13],400,0.2,512,400,0.2
149,32,8.0,7.555410900000425,[16  4  5 13 16  1 17 12 17  1  7 15  2 11 20 14  2  0  9  3 20],400,0.2,512,400,0.2
150,64,7.0,14.522230600000512,[ 6 20  1 13  4 17 14 12  7 18  1 15 19  0  3 18  2 15 12  5 17],400,0.2,512,400,0.2
151,128,5.0,27.95634169999994,[19  4 15 10 12  3 17  8 14  0 20 13 16  8 11  7  1  4  2 18  6],400,0.2,512,400,0.2
152,256,5.0,55.9597732000002,[19  4 15 10 12  3 17  8 14  0 20 13 16  8 11  7  1  4  2 18  6],400,0.2,512,400,0.2
153,512,5.0,113.23817110000073,[19  4 15 10 12  3 17  8 14  0 20 13 16  8 11  7  1  4  2 18  6],400,0.2,512,400,0.2
154,0,17.0,0.19100049999997282,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],400,0.3,512,400,0.3
155,1,12.0,0.3958900999996331,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.3,512,400,0.3
156,2,12.0,0.5887666999997236,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.3,512,400,0.3
157,4,12.0,1.000653500000226,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.3,512,400,0.3
158,8,11.0,1.8531712000003608,[20  9 20  5  7 13 11 14 20  6  9 12 16  5 13  1 10  0 18 12  4],400,0.3,512,400,0.3
159,16,10.0,3.5513262000004033,[ 4  1  8 18 14 13  0 20 16 11  6 14  2 12  9  4  1  5  8 12 19],400,0.3,512,400,0.3
160,32,9.0,6.943301899999824,[ 4 12  8  1 19 13  0 20 17 15  9 14  2  9 19 16 18  5  3 19 19],400,0.3,512,400,0.3
161,64,7.0,13.680547199999637,[ 7  3  8 12  5 13 11  1 16 19  6 15 10 12  0 10 19 10  5  2  9],400,0.3,512,400,0.3
162,128,7.0,27.142211399999724,[ 7  3  8 12  5 13 11  1 16 19  6 15 10 12  0 10 19 10  5  2  9],400,0.3,512,400,0.3
163,256,7.0,53.74638679999953,[ 7  3  8 12  5 13 11  1 16 19  6 15 10 12  0 10 19 10  5  2  9],400,0.3,512,400,0.3
164,512,7.0,108.96468410000034,[ 7  3  8 12  5 13 11  1 16 19  6 15 10 12  0 10 19 10  5  2  9],400,0.3,512,400,0.3
165,0,17.0,0.2942473000002792,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],400,0.4,512,400,0.4
166,1,12.0,0.5611666000004334,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.4,512,400,0.4
167,2,12.0,0.8662408999998661,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],400,0.4,512,400,0.4
168,4,11.0,1.3101524000003337,[16 13 11 12  1  2 17  5 10 15  0 18 17  2 14  7  9 10  9  3  6],400,0.4,512,400,0.4
169,8,10.0,2.1427451999998084,[17  5 18  1 12  7  2 16  7  2  0 13  1 17 20  4 19 15  4 10  7],400,0.4,512,400,0.4
170,16,8.0,3.7369023999999627,[ 0 11 11 18 11  9  2  9 19 17 15  6 14  5 20  5  7 10 12  3 19],400,0.4,512,400,0.4
171,32,8.0,7.157368700000006,[ 0 11 11 18 11  9  2  9 19 17 15  6 14  5 20  5  7 10 12  3 19],400,0.4,512,400,0.4
172,64,8.0,13.951192900000024,[ 0 11 11 18 11  9  2  9 19 17 15  6 14  5 20  5  7 10 12  3 19],400,0.4,512,400,0.4
173,128,5.0,27.7169801,[16 13 11  8 19  1 17  5 12 15 20 18  9  2 14 19 19 10  0  3 19],400,0.4,512,400,0.4
174,256,5.0,55.875198900000214,[16 13 11  8 19  1 17  5 12 15 20 18  9  2 14 19 19 10  0  3 19],400,0.4,512,400,0.4
175,512,5.0,109.9276391000003,[16 13 11  8 19  1 17  5 12 15 20 18  9  2 14 19 19 10  0  3 19],400,0.4,512,400,0.4
