,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
46,2,13.0,0.0021036999996795203,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999978963,
47,4,10.0,0.0026741000001493376,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],10,512,10,arithmetic,10,0.0001,0.001,9.99999973259,
48,8,4.0,0.0033954000000449014,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0],10,512,10,arithmetic,10,0.0001,0.001,9.99999966046,
49,16,11.0,0.004989299999579089,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999950107,
50,32,12.0,0.0076771000003645895,[0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 0],10,512,10,arithmetic,10,0.0001,0.001,9.99999923229,
51,64,11.0,0.011973399999988033,[0 1 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999880266,
52,128,11.0,0.02085869999973511,[0 0 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999791413,
53,256,12.0,0.03854810000029829,[1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0 1 0 1 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999614519,
54,512,13.0,0.07745499999964522,[0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1],10,512,10,arithmetic,10,0.0001,0.001,9.9999922545,
55,0,11.0,0.00010329999986424809,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,exponential,10,,0.001,9.99999483500134,0.005
56,1,11.0,0.0004633999997167848,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,exponential,10,,0.001,9.999976830026856,0.005
57,2,13.0,0.0007777999999234453,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],10,512,10,exponential,10,,0.001,9.999961110075626,0.005
