,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
124,4,20.0,1.3844503999998778,[14 11  4  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,10
125,8,18.0,1.38751880000018,[14 11  4  8  7 11  1  4 12 19  7 10 14 10  0 20  2 16 18 13  7],5,512,10
126,16,14.0,1.392891899999995,[15 11 20  8  7 11  1  4 12 19  7 10 14  2  0 20  2 16 18 13  7],5,512,10
127,32,13.0,1.4011209000000235,[15 11 20  8  7 11  1  4 12 19 19 10 14  2  0 20  2 16 18 13  7],5,512,10
128,64,10.0,1.417626299999938,[15 11 20 11  7 11  1  4 12 10 19 10 14 11  0 20  2 16 18 13  7],5,512,10
129,128,8.0,1.4480215000003227,[15 11 20 17  7 11  1  4 12 10 19  3 14 11  0 20  2 16 18 13  7],5,512,10
130,256,5.0,1.507763999999952,[15  9 20 17  7 11  1  4 12 10 19  3 14 11  7 20  2 16 18 13  8],5,512,10
131,512,3.0,1.6496388000005027,[15  9 20 17  0 11  1  4 12 10 19  3 14 11  7 20  2 16 18 13  8],5,512,10
132,0,22.0,1.6513116000005539,[13  1 11 20 15  3  7  1  9  8 14 12 16 15  1 19 19 13  2 11  7],6,512,10
133,1,22.0,1.6527280000000246,[13  1 11 20 15  3  7  1  9  8 14 12 16 15  1 19 19 13  2 11  7],6,512,10
134,2,22.0,1.6538015000005544,[13  1 11 20 15  3  7  1  9  8 14 12 16 15  1 19 19 13  2 11  7],6,512,10
135,4,21.0,1.6557001999999557,[13  1 11 20 15  3  7  1  9  8 14 14 16 15  1 19 19 13  2 11  7],6,512,10
136,8,21.0,1.6583755000001474,[13  1 11 20 15  3  7  1  9  8 14 14 16 15  1 19 19 13  2 11  7],6,512,10
137,16,17.0,1.6639984000003096,[13  1 11 20 15  3  4  1  9  8 14 14 16 15  1 18 19 13  2 11 11],6,512,10
138,32,15.0,1.6743301000005886,[13  1 11 20 15  3  4  1 10  8 14 14 16  1  1 18 19 13  2 11 11],6,512,10
139,64,10.0,1.691110600000684,[13  1 11 20 15  6  4  1 10  8 14 17 16  1  1 18 19  5  2 11 11],6,512,10
140,128,7.0,1.7230420000005324,[13  1 11 20 15  6  4  0 10  8 14 17 16  8  1 18 19  5  2 11  9],6,512,10
141,256,5.0,1.7828009000004386,[12  1 11 20 15  6  4  0 10  8 14 17 16  3  1 18 19  5  2 11  9],6,512,10
142,512,4.0,1.9133191000000807,[12  1 11 20 15  6  4  0 10  8 14 17 19  3  1 18 19  5  2 11  9],6,512,10
143,0,19.0,1.917481399999815,[11  6 15 10 13  2 18 17  9  5 12  9 17 19 15  5 12  3 13  0 19],7,512,10
144,1,17.0,1.921271600000182,[11  6 15 10  7  2 18 17  9  5 12  9 17 19 15  5 12  3 13  0 19],7,512,10
145,2,15.0,1.9254644000002372,[11  6 15 10  7  2 18 17  9  5 12  1 17 19 15  5 12  3 13  0 19],7,512,10
146,4,15.0,1.929621500000394,[11  6 15 10  7  2 18 17  9  5 12  1 17 19 15  5 12  3 13  0 19],7,512,10
147,8,14.0,1.9344123000000764,[11  6  8 10  7  2 18 17  9  5 12  1 17 19 15  5 12  3 13  0 19],7,512,10
148,16,13.0,1.942561900000328,[11  6  8 10  7  2 18 17  9  5 12  1 17 19  1  5 12  3 13  0 19],7,512,10
149,32,10.0,1.9541650999999547,[11  6  8 10  7  2 18 20  9  5 12  1 17  4  1  5 12  3 13  0 19],7,512,10
150,64,6.0,1.9719586999999592,[11 15  8 10  7  2 18 20  9  5 12  1 17  4  1  7  5  3 13  0 19],7,512,10
151,128,5.0,2.0024920000005295,[11 15  8 10  2  2 18 20  9  5 12  1 17  4  1  7  5  3 13  0 19],7,512,10
152,256,4.0,2.062047400000665,[11 15  8 10  2  2 18 20  9  5 12  1 17  4  1  7 16  3 13  0 19],7,512,10
153,512,4.0,2.192266699999891,[11 15  8 10  2  2 18 20  9  5 12  1 17  4  1  7 16  3 13  0 19],7,512,10
154,0,24.0,2.194603900000402,[15 13 11 11 10 16  7 16 20 19 10  1  9  9 10  5  3 11 10 12  4],8,512,10
155,1,22.0,2.1967981000007057,[15 13 11 11 10  0  7 16 20 19 10  1  9  9 10  5  3 11 10 12  4],8,512,10
156,2,22.0,2.1989807999998447,[15 13 11 11 10  0  7 16 20 19 10  1  9  9 10  5  3 11 10 12  4],8,512,10
157,4,20.0,2.2024830999998812,[15 13 11 11 10  0  7 16 14 19 10  1  9  9 10  5  3 11 10 12  4],8,512,10
158,8,18.0,2.205949799999871,[15 13 11 11 10  0  7 16 14 19 10  1  9  3 10  6  3 11 10 12  4],8,512,10
159,16,17.0,2.210746800000379,[15 13 11 11 10  0  7 16 14 17 10  1  9  3 10  6  3 11 10 12  4],8,512,10
160,32,12.0,2.2200159000003623,[15  5 11 11 10  0  7 16 14 17 10  1  9  3 13  6  3 18 10 12  4],8,512,10
161,64,9.0,2.2364774000006946,[15  5 11  7 11  0 20 16 14 17 10  1  9  3 13  6  3 18 10 12  4],8,512,10
162,128,7.0,2.266839200000504,[15  5 11  7 11  0  8 16 14 17 10  1  9 16 13  6  3 18 10 12  4],8,512,10
163,256,5.0,2.3264598000005208,[15  5 18  7 11  0  8 16 14 17 20  1  9 16 13  6  3 18 10 12  4],8,512,10
164,512,5.0,2.4532011999999668,[15  5 18  7 11  0  8 16 14 17 20  1  9 16 13  6  3 18 10 12  4],8,512,10
165,0,18.0,2.4559336000002077,[ 6  3 12 11  0 20 18 20 19 17 10 19  2 16 11  9  7 14  4  3 20],9,512,10
166,1,18.0,2.458061899999848,[ 6  3 12 11  0 20 18 20 19 17 10 19  2 16 11  9  7 14  4  3 20],9,512,10
167,2,18.0,2.459802800000034,[ 6  3 12 11  0 20 18 20 19 17 10 19  2 16 11  9  7 14  4  3 20],9,512,10
168,4,17.0,2.461990599999808,[ 6  3 12 11  0 20 18 20 19 17 10  2  2 16 11  9  7 14  4  3 20],9,512,10
169,8,17.0,2.4656824000003326,[ 6  3 12 11  0 20 18 20 19 17 10  2  2 16 11  9  7 14  4  3 20],9,512,10
170,16,15.0,2.4706801000002088,[ 6  3 12 11  0 20 18 20 19 17 10  2  2 16 11  9  7 14  4  3  8],9,512,10
171,32,12.0,2.4789700000001176,[ 6  3 12  4  0 20 18 20 19 17 10  2  2 16 11  9  7 14  4  3  8],9,512,10
172,64,11.0,2.4943442000003415,[ 6  3 12  4  0 20 18 20 19 17 10  2  2 16 11  9  7 14  4  1  8],9,512,10
173,128,5.0,2.525578700000551,[ 6  3 12  4  0 20 15  5 19 17 10  6  2 16 18  9  7 14  4  1  8],9,512,10
174,256,5.0,2.5840134999998554,[ 6  3 12  4  0 20 15  5 19 17 10  6  2 16 18  9  7 14  4  1  8],9,512,10
175,512,5.0,2.708386899999823,[ 6  3 12  4  0 20 15  5 19 17 10  6  2 16 18  9  7 14  4  1  8],9,512,10
176,0,20.0,2.710507900000266,[ 2  2 19 17 19  3  0 15  7 16  7  6  7 20 11 15 11 18  9  6 11],10,512,10
177,1,18.0,2.7122354000002815,[ 2  2 19 17 19  3  0 15  7 16  7  6  7 20 11 15 11 18  9  4 11],10,512,10
178,2,18.0,2.7136887000006027,[ 2  2 19 17 19  3  0 15  7 16  7  6  7 20 11 15 11 18  9  4 11],10,512,10
179,4,18.0,2.7153291000004174,[ 2  2 19 17 19  3  0 15  7 16  7  6  7 20 11 15 11 18  9  4 11],10,512,10
180,8,18.0,2.718090899999879,[ 2  2 19 17 19  3  0 15  7 16  7  6  7 20 11 15 11 18  9  4 11],10,512,10
181,16,15.0,2.723217800000384,[ 2  2 19 17 19  3  0 15  7 16  7 10  7 20 11 15 11 18  6  4 11],10,512,10
182,32,12.0,2.732299000000239,[12  2  7 17 19  3  0 15  7 16  7 10  7 20 11 15 11 18  6  4  9],10,512,10
183,64,7.0,2.749010100000305,[12  2  7 17 19  3  0 15 14 16  7 10 16 20  5 15 11 18  6  4  9],10,512,10
184,128,6.0,2.7788964999999735,[12  2  7 17 19  3  0 15 14 16  7 10 16 20  5 15 11  1  6  4  9],10,512,10
185,256,4.0,2.8389327000004414,[12  2  7 17 19  3  0  8 14  5  7 10 16 20  5 15 11  1  6  4  9],10,512,10
186,512,3.0,2.963741999999911,[12  2  7 17 19  3  0 18 14  5  7 10 16 20  5 15 11  1  6  4  9],10,512,10
187,0,17.0,0.0005272999997032457,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,15
188,1,17.0,0.0018328999994992046,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,15
