,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
47,4,17.0,0.007033299999420706,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999929667,
48,8,17.0,0.011375199999747565,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],10,512,10,arithmetic,10,0.0001,0.001,9.99999886248,
49,16,19.0,0.01980699999967328,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],10,512,10,arithmetic,10,0.0001,0.001,9.9999980193,
50,32,20.0,0.03502359999947657,[16  9  0 18 14  9  9 14  6 16 18  1  7  7 14  1 11  8  1 20 16],10,512,10,arithmetic,10,0.0001,0.001,9.99999649764,
51,64,20.0,0.06615309999961028,[18 12 20 19  0  3  1 14  5 11 15 12  7  7 10  1  5  8 20  1  5],10,512,10,arithmetic,10,0.0001,0.001,9.99999338469,
52,128,15.0,0.12263309999980265,[16  0  8 19  8 12  4  0  3 19  4  4 20 18  1  6 19 13 17  0 12],10,512,10,arithmetic,10,0.0001,0.001,9.99998773669,
53,256,18.0,0.25240839999969467,[ 4 12  4  8 18  0  2 16 14 16 15  5  8  1 15  7 13 19  6 13  5],10,512,10,arithmetic,10,0.0001,0.001,9.99997475916,
54,512,23.0,0.48595339999974385,[ 5 13  9  1 13 19 20  4 17  8  7  7 13 10  4  9 18 17  2  6 19],10,512,10,arithmetic,10,0.0001,0.001,9.99995140466,
55,0,17.0,0.0010723999994297628,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999946380143784,0.005
56,1,19.0,0.0024965000002339366,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.99987517577905,0.005
57,2,17.0,0.003950700000132201,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999802466950985,0.005
58,4,17.0,0.006646099999670696,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],10,512,10,exponential,10,,0.001,9.999667700521286,0.005
59,8,17.0,0.01107030000002851,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],10,512,10,exponential,10,,0.001,9.999446500318658,0.005
60,16,19.0,0.018994699999893783,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],10,512,10,exponential,10,,0.001,9.999050310098406,0.005
61,32,20.0,0.033442299999478564,[16  9  0 18 14  9  9 14  6 16 18  1  7  7 14  1 11  8  1 20 16],10,512,10,exponential,10,,0.001,9.998328024790663,0.005
62,64,20.0,0.06166229999962525,[18 12 20 19  0  3  1 14  5 11 15 12  7  7 10  1  5  8 20  1  5],10,512,10,exponential,10,,0.001,9.996917360231082,0.005
63,128,15.0,0.12071749999995518,[16  0  8 19  8 12  4  0  3 19  4  4 20 18  1  6 19 13 17  0 12],10,512,10,exponential,10,,0.001,9.993965946222913,0.005
64,256,24.0,0.2409578999995574,[ 7  5  2  0 18  1  1  3 12  5 16  5  8  1 14 11  2 19 15  4  1],10,512,10,exponential,10,,0.001,9.987959359674974,0.005
65,512,11.0,0.44504679999954533,[15  9 20 13  2 19  2  0 17  0  2 15 19 14 14  5 12 18 11  4  6],10,512,10,exponential,10,,0.001,9.977772399977647,0.005
66,0,17.0,0.001855999999861524,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.99813467506313,
67,1,19.0,0.004118900000321446,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.9958604528466,
68,2,17.0,0.007173300000431482,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.99279085245331,
69,4,17.0,0.010620400000334485,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],100,512,100,geometric,100,0.99,0.001,99.98932671094583,
70,8,17.0,0.014973600000303122,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],100,512,100,geometric,100,0.99,0.001,99.98495216140692,
71,16,19.0,0.023983799999768962,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],100,512,100,geometric,100,0.99,0.001,99.97589838040301,
72,32,22.0,0.03915740000047663,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],100,512,100,geometric,100,0.99,0.001,99.96065324075296,
73,64,21.0,0.06909360000008746,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],100,512,100,geometric,100,0.99,0.001,99.93058271641945,
74,128,18.0,0.13228369999978895,[ 8  9  7 13  1 13  4  1  3 16  4  4 18 11  2  6  7 15 17 15 12],100,512,100,geometric,100,0.99,0.001,99.86713877748207,
75,256,22.0,0.27012639999975363,[16 20  5  8  1  2  5  4  7  9 11  5 13 15 19 10 20 15  6 13 14],100,512,100,geometric,100,0.99,0.001,99.72888208596414,
76,512,10.0,0.5235462999999072,[15 13 16 14 11  4  2 17 17  2  6  6  0 10  6 19  3 18 10 17  9],100,512,100,geometric,100,0.99,0.001,99.47520029562509,
77,0,17.0,0.0006964000003790716,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.99999993036,
78,1,19.0,0.002642000000378175,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.9999997358,
79,2,17.0,0.004328800000621413,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.99999956712,
80,4,17.0,0.006879999999910069,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],100,512,100,arithmetic,100,0.0001,0.001,99.999999312,
81,8,17.0,0.011264800000390096,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],100,512,100,arithmetic,100,0.0001,0.001,99.99999887352,
82,16,19.0,0.020045300000674615,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],100,512,100,arithmetic,100,0.0001,0.001,99.99999799547,
83,32,22.0,0.03521860000000743,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],100,512,100,arithmetic,100,0.0001,0.001,99.99999647814,
84,64,21.0,0.06590360000063811,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],100,512,100,arithmetic,100,0.0001,0.001,99.99999340964,
85,128,19.0,0.12851290000071458,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],100,512,100,arithmetic,100,0.0001,0.001,99.99998714871,
86,256,14.0,0.2616468000005625,[19 13  0  2  1 18  2 16 13 17 10  0 14  4  9  7 11 19  6  5 17],100,512,100,arithmetic,100,0.0001,0.001,99.99997383532,
87,512,22.0,0.5102628000004188,[15 12  9  1  1  6 19 13 17 10  1 15 19 10  5  9  4  5 11 17  6],100,512,100,arithmetic,100,0.0001,0.001,99.99994897372,
88,0,17.0,0.0010768999991341843,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99946155145008,0.005
89,1,19.0,0.00278600000001461,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99860700970218,0.005
90,2,17.0,0.004862799999500567,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.99756862955854,0.005
91,4,17.0,0.008997299999464303,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],100,512,100,exponential,100,,0.001,99.995501451188,0.005
92,8,17.0,0.013394099999459286,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],100,512,100,exponential,100,,0.001,99.99330317424766,0.005
93,16,19.0,0.021515399999771034,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],100,512,100,exponential,100,,0.001,99.9892428786199,0.005
94,32,22.0,0.03834109999934299,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],100,512,100,exponential,100,,0.001,99.98083128743285,0.005
95,64,21.0,0.06865409999954863,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],100,512,100,exponential,100,,0.001,99.96567884105794,0.005
96,128,19.0,0.13335449999976845,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],100,512,100,exponential,100,,0.001,99.93334497433865,0.005
97,256,20.0,0.26856019999922864,[14 11 12  2 17 18  2 16 14 19 19  0 10  2 15  7  9 14 17  5  1],100,512,100,exponential,100,,0.001,99.86581001538649,0.005
98,512,17.0,0.5192225999999209,[13  7  9 14 16  6  3 20  1  7  1  6 12 20  5 19 10  5 16 11 19],100,512,100,exponential,100,,0.001,99.74072539870316,0.005
99,0,17.0,0.0010431000000608037,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9895165496223,
100,1,19.0,0.003383400000529946,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9659962718079,
101,2,17.0,0.005026300000281481,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9494852728085,
102,4,17.0,0.007533500000135973,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1000,512,1000,geometric,1000,0.99,0.001,999.9242886610944,
103,8,17.0,0.012498699999923701,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1000,512,1000,geometric,1000,0.99,0.001,999.8743917566446,
104,16,19.0,0.020390100000440725,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],1000,512,1000,geometric,1000,0.99,0.001,999.7950936430848,
105,32,22.0,0.036450999999942724,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],1000,512,1000,geometric,1000,0.99,0.001,999.6337223038643,
106,64,21.0,0.06725410000035481,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],1000,512,1000,geometric,1000,0.99,0.001,999.3243020941875,
107,128,19.0,0.12973050000073272,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],1000,512,1000,geometric,1000,0.99,0.001,998.6970145282315,
108,256,20.0,0.2871694000004936,[15 20  3  7 15 18  2 16 14 19 19 13 10  4 15  7  9 19 20  4  1],1000,512,1000,geometric,1000,0.99,0.001,997.1180120069538,
109,512,13.0,0.7373035000000527,[16 12  9 13 10  6 20 13 13  3 13 15 19 10  5 18  2  7  4 17 19],1000,512,1000,geometric,1000,0.99,0.001,992.6172396541369,
110,0,17.0,0.0010502000004635192,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999989498,
111,1,19.0,0.0037376999998741667,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999962623,
112,2,17.0,0.006269600000450737,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999937304,
113,4,17.0,0.010439900000164926,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999895601,
114,8,17.0,0.019155400000272493,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999808446,
115,16,19.0,0.03208420000009937,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999679158,
116,32,22.0,0.05514519999996992,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999448548,
117,64,21.0,0.08799960000033025,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999120004,
118,128,19.0,0.22032430000035674,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99997796757,
119,256,20.0,0.5795122999998057,[16 12  3  8  1  0  2  3 14 16 15  4 12  4 16  8 16 19 17 12 14],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99994204877,
120,512,22.0,0.9671625000000859,[16 12  9  1 13  6  8  1 17 10  7  6  2 10  5  5 10  5  2  4  6],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99990328375,
121,0,17.0,0.001563200000418874,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9921840305428,0.005
122,1,19.0,0.005260900000394031,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9736958459584,0.005
123,2,17.0,0.007585299999846029,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9620742192013,0.005
124,4,17.0,0.012101700000130222,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1000,512,1000,exponential,1000,,0.001,999.9394933306017,0.005
125,8,17.0,0.021418199999970966,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1000,512,1000,exponential,1000,,0.001,999.8929147340366,0.005
126,16,19.0,0.03364239999973506,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],1000,512,1000,exponential,1000,,0.001,999.8318021468465,0.005
127,32,22.0,0.06472190000022238,[16  9  5 18  2  9  9 14  8 16 18  8  7  7 13  1 11  8  1 20 16],1000,512,1000,exponential,1000,,0.001,999.6764428559054,0.005
128,64,21.0,0.10915130000012141,[18 12  0 18  1  3  0 14 20 16  3  6  8  6 15  1  5  8  1  1  5],1000,512,1000,exponential,1000,,0.001,999.4543923979895,0.005
129,128,19.0,0.18429310000010446,[ 8  9  7 13  1 13  4  1  5 16  4  4 18 11  2  6  7 15 17 15 12],1000,512,1000,exponential,1000,,0.001,999.0789589189608,0.005
130,256,20.0,0.3256911999997101,[16 12  3  8  1  0  2  3 14 16 15  4 12  4 16  8 16 19 17 12 14],1000,512,1000,exponential,1000,,0.001,998.3728692150244,0.005
131,512,25.0,0.5977601000004142,[15 12  9  1 11  6 17 13 19 10 13  7 19 10  5  7  2  8  2  6  6],1000,512,1000,exponential,1000,,0.001,997.0156615177451,0.005
