,Iteration,Fitness,Time,State,pop_size,keep_pct,max_iters,Population Size,Keep Percent
50,32,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
51,64,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
52,128,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
53,256,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
54,512,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
55,0,11.0,0.0005993999993734178,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.4,512,200,0.4
56,1,18.0,0.1406444999993255,[1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1.],200,0.4,512,200,0.4
57,2,19.0,0.28312689999984286,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.4,512,200,0.4
58,4,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
59,8,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
60,16,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
61,32,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
62,64,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
63,128,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
64,256,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
65,512,20.0,0.5598170999992362,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
66,0,11.0,0.000708900000063295,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.6,512,200,0.6
67,1,16.0,0.13043789999937871,[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
68,2,17.0,0.26517489999969257,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0.],200,0.6,512,200,0.6
69,4,19.0,0.5575476999993043,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
70,8,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
71,16,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
72,32,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
73,64,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
74,128,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
75,256,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
76,512,20.0,0.9775995999998486,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
77,0,11.0,0.0006192999999257154,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.8,512,200,0.8
78,1,15.0,0.13617410000006203,[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1.],200,0.8,512,200,0.8
79,2,16.0,0.28232589999970514,[0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0.],200,0.8,512,200,0.8
80,4,17.0,0.5469960999998875,[0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],200,0.8,512,200,0.8
81,8,17.0,1.084462099999655,[0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],200,0.8,512,200,0.8
82,16,19.0,2.1941995999995925,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
83,32,19.0,4.377865399999791,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
84,64,19.0,8.61668279999958,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
85,128,19.0,17.143249599999763,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
86,256,19.0,34.697436299999936,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
87,512,19.0,84.84392240000034,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
88,0,11.0,0.00046209999982238514,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],300,0.2,512,300,0.2
89,1,18.0,0.23314849999951548,[1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
90,2,19.0,0.5204536000001099,[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
91,4,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
92,8,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
93,16,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
94,32,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
95,64,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
96,128,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
97,256,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
